Fe,Co,Cr,Mo,Mn,Nb,Sn,Ni,Zr,Cu,Al,LREE,Pb,Ti,HREE,Be,Mg,C,B,P,G(Gpa)
0,0,0,0,0,10,0,10,45,13,0,0,0,0,0,22,0,0,0,0,36.4
8,0,0,0,0,8,0,4,45,13,0,0,0,0,0,22,0,0,0,0,35.1
0,0,0,0,0,0,0,10,46.75,7.5,0,0,0,8.25,0,27.5,0,0,0,0,37.2
0,0,0,0,0,0,0,0,48,45,7,0,0,0,0,0,0,0,0,0,33
8,0,0,0,0,8,0,0,48,12,0,0,0,0,0,24,0,0,0,0,35.2
0,0,0,0,0,8,0,12,48,14,0,0,0,0,0,18,0,0,0,0,34.4
0,0,0,0,0,0,0,10,50,15,10,0,0,0,0,15,0,0,0,0,38.8
0,0,0,0,0,0,0,0,50,25,0,0,0,0,0,25,0,0,0,0,35.8
0,0,0,0,0,0,0,10,52.5,15,10,0,0,0,0,12.5,0,0,0,0,35.9
0,0,0,0,0,5,0,14.6,52.5,17.9,10,0,0,0,0,0,0,0,0,0,30.2
0,0,0,0,0,0,0,14.6,52.5,17.9,10,0,0,5,0,0,0,0,0,0,31.8
0,0,0,0,0,0,0,23.5,53,0,23.5,0,0,0,0,0,0,0,0,0,37.4
0,0,0,0,0,0,0,12,53,20,10,0,0,5,0,0,0,0,0,0,31.3
0,0,0,0,0,0,0,12,53,20,15,0,0,0,0,0,0,0,0,0,33.8
0,0,0,0,0,0,0,24.8,55.8,0,19.4,0,0,0,0,0,0,0,0,0,34.6
0,0,0,0,0,0,0,10,55,15,10,0,0,0,0,10,0,0,0,0,34.4
0,0,0,0,0,0,0,5,55,30,10,0,0,0,0,0,0,0,0,0,31.7
0,0,0,0,0,9,0,11,55,15,10,0,0,0,0,0,0,0,0,0,34.8
0,28,0,0,0,0,0,0,56,0,16,0,0,0,0,0,0,0,0,0,33.9
0,0,0,0,0,5,0,12.6,57,15.4,10,0,0,0,0,0,0,0,0,0,32
0,0,0,0,0,0,0,8,57,20,10,0,0,5,0,0,0,0,0,0,30.1
0,0,0,0,0,0,0,26.6,58,0,15.4,0,0,0,0,0,0,0,0,0,32.4
0,0,0,0,0,0,0,10.125,60.525,19.35,10,0,0,0,0,0,0,0,0,0,29.8
0,0,0,0,0,0,0,10,60,15,10,0,0,0,0,5,0,0,0,0,28.2
0,0,0,0,0,0,0,0,60,28,12,0,0,0,0,0,0,0,0,0,30.7
0,0,0,0,0,0,0,21,60,0,19,0,0,0,0,0,0,0,0,0,33.5
0,0,0,0,0,3,0,13,60,14,10,0,0,0,0,0,0,0,0,0,31.1
0,0,0,0,0,0,0,10.12,61.88,18,10,0,0,0,0,0,0,0,0,0,29.3
0,0,0,0,0,0,2.5,12.8,61,15.8,7.9,0,0,0,0,0,0,0,0,0,29.8
0,0,0,0,0,0,2,12.8,61,16.3,7.9,0,0,0,0,0,0,0,0,0,30.1
0,0,0,0,0,0,1.5,12.8,61,16.8,7.9,0,0,0,0,0,0,0,0,0,28.4
0,0,0,0,0,0,1,12.8,61,17.3,7.9,0,0,0,0,0,0,0,0,0,28.2
0,0,0,0,0,0,0.5,12.8,61,17.8,7.9,0,0,0,0,0,0,0,0,0,28.8
0,0,0,0,0,0,0,12.8,61,18.3,7.9,0,0,0,0,0,0,0,0,0,28.9
0,0,0,0,0,0,0,0,61,25,12,0,0,2,0,0,0,0,0,0,30.2
0,0,0,0,0,0,0,10.125,62.325,17.55,10,0,0,0,0,0,0,0,0,0,29.5
0,0,0,0,0,0,0,12.6,62,15.4,10,0,0,0,0,0,0,0,0,0,28.9
0,0,0,0,0,0,0,10.12,64.13,15.75,10,0,0,0,0,0,0,0,0,0,28.5
0,0,0,0,0,0,0,10.125,65.025,14.85,10,0,0,0,0,0,0,0,0,0,28.4
0,0,0,0,0,0,0,10,65,15,10,0,0,0,0,0,0,0,0,0,30.3
0,0,0,0,0,0,0,8.333333333,66,16.66666667,9,0,0,0,0,0,0,0,0,0,27.8
0,0,0,0,0,0,0,8,68,16,8,0,0,0,0,0,0,0,0,0,26.8
0,0,0,0,0,0,0,7.666666667,70,15.33333333,7,0,0,0,0,0,0,0,0,0,25.4
